,prob
6557,0.3785086
8972,8.072449e-08
5690,4.691327e-11
3327,0.4877866
3495,4.0347257e-07
8135,0.2874979
2349,0.00013030389
6015,0.6029289
3389,0.27932405
8782,1.6168558e-05
5088,2.0214879e-05
2047,0.038304605
4455,0.008023215
8594,0.8527116
6877,2.2008965e-10
8308,1.222788e-12
6966,0.0011409061
4282,0.016921854
7577,3.1577916e-09
1976,6.694493e-05
6733,2.2634966e-07
2190,0.33146378
164,2.279806e-06
4792,1.5594145e-07
4670,5.044867e-09
1555,0.62604743
3415,0.599949
7761,0.07210858
1841,3.3524464e-06
8870,0.48326603
7459,7.952205e-05
860,0.029742083
8010,3.842822e-11
3663,0.0012104783
2175,0.00013300806
1387,7.0395147e-09
5975,8.761195e-07
6402,4.4164135e-09
7239,0.00014618407
3594,0.038978234
3843,0.28780696
7586,9.2481064e-11
6737,0.19111162
2538,2.9757436e-08
1256,0.0004731782
6016,0.00038755723
1247,0.95327026
454,0.62729025
6042,0.03082869
4843,2.475154e-13
5084,0.18280187
5855,0.14231238
8297,0.003766033
7687,0.0034042667
5280,0.024867928
9073,0.80610436
338,0.00052653253
7311,0.9963486
7418,0.001837689
4611,3.7467105e-09
5750,3.855172e-07
4820,4.5508718e-17
4064,0.28535998
4430,0.084594086
5919,0.037088323
7658,3.0415035e-06
3762,0.6151949
5073,9.5814554e-17
8082,3.7932169e-10
53,1.628685e-06
603,0.20053124
1640,0.9452647
3344,0.03609869
1686,0.036615465
1663,1.942431e-06
5053,0.005262802
1262,0.60515106
8370,0.18307722
2203,0.59883547
4973,5.850127e-32
3147,0.29615733
992,4.5851642e-10
951,0.29501814
7737,6.159335e-18
8702,1.0672234e-06
5139,0.07267327
4164,0.005043627
4642,2.5173475e-16
6229,0.0013050486
515,0.21943982
2506,0.03973878
8692,0.19066456
6541,9.099824e-06
2454,0.22868377
7314,1.3057589e-08
1724,0.0022518965
1120,0.021064587
3472,2.019064e-09
9035,0.5712774
1887,0.011656192
3747,2.676031e-08
5892,0.026649086
4521,0.00015281001
4688,2.8806633e-07
6971,0.052679073
4360,3.7850687e-06
3170,0.0017702525
8953,0.82270956
7355,0.3109918
8504,0.0025046116
7287,2.0666113e-15
6241,0.0025120205
8360,0.0025444455
6024,9.084827e-08
6981,0.48730817
417,0.6095997
1980,6.4481617e-07
7860,0.12904458
2105,0.6047956
2703,0.00062832155
4300,0.00039494218
8425,2.320282e-14
8358,9.1600594e-07
7486,4.6841847e-14
4133,0.79127705
2983,4.225574e-10
8958,0.5202224
7343,0.5300267
6996,4.30702e-13
8403,1.2241551e-05
1664,0.036604133
7240,5.7017737e-09
8150,9.225178e-09
6293,5.0527706e-07
7190,4.5505804e-23
8818,1.7174872e-13
4976,6.6408e-19
3354,0.000110124216
